Texto,Entidades
Se debe ajustar la dosis de 14-hidroxidihidro-morfinona debido a los efectos secundarios observados.,"(14-hidroxidihidro-morfinona,28,55)"
Se debe ajustar la dosis de 1-Propanol debido a los efectos secundarios observados.,"(1-Propanol,28,38)"
"Se recetó 2,3,7,8-Tetraclorodi-benzo-p-dioxina para tratar la infección bacteriana.","(2,3,7,8-Tetraclorodi-benzo-p-dioxina,10,46)"
"Se ha reportado una reacción adversa grave al administrar 2,4,5-T (ácido tricloro-fenoxiacético).","(2,4,5-T (ácido tricloro-fenoxiacético),58,96)"
"Se ha reportado una reacción adversa grave al administrar 2,4,5-Triclorofenoxiacético, ácido.","(2,4,5-Triclorofenoxiacético, ácido,58,92)"
"El paciente fue tratado con 2,4-D (ácido diclorofeno-oxiacético) tras su diagnóstico de hipertensión.","(2,4-D (ácido diclorofeno-oxiacético),28,64)"
"El paciente fue tratado con 2,4-diclorofenoxiacético-acético, ácido tras su diagnóstico de hipertensión.","(2,4-diclorofenoxiacético-acético, ácido,28,67)"
"Se recetó 2,4-diisocianato de tolueno para tratar la infección bacteriana.","(2,4-diisocianato de tolueno,10,37)"
"Durante la consulta, se sugirió añadir 2-desoxi-5-fluorouridina al régimen terapéutico.","(2-desoxi-5-fluorouridina,39,63)"
"Durante la consulta, se sugirió añadir 2-Etoxietanol al régimen terapéutico.","(2-Etoxietanol,39,52)"
El paciente fue tratado con 2-Metoxietanol tras su diagnóstico de hipertensión.,"(2-Metoxietanol,28,42)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por 2-Propanol.","(2-Propanol,82,92)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por 3,4-metilendioximetanfetamina.","(3,4-metilendioximetanfetamina,82,111)"
"Durante la consulta, se sugirió añadir 4-Aminobutírico, ácido al régimen terapéutico.","(4-Aminobutírico, ácido,39,61)"
"El paciente fue tratado con 4-Aminofenol, derivados de tras su diagnóstico de hipertensión.","(4-Aminofenol, derivados de,28,54)"
"Durante la consulta, se sugirió añadir 5-desoxi-5-fluorouridina al régimen terapéutico.","(5-desoxi-5-fluorouridina,39,63)"
Se ha reportado una reacción adversa grave al administrar 5-Metoxipsoraleno (5-MOP).,"(5-Metoxipsoraleno (5-MOP),58,83)"
El paciente fue tratado con 8-Aminoquinolina tras su diagnóstico de hipertensión.,"(8-Aminoquinolina,28,44)"
El paciente fue tratado con 8-Metoxipsoraleno (8-MOP) tras su diagnóstico de hipertensión.,"(8-Metoxipsoraleno (8-MOP),28,53)"
"Durante la consulta, se sugirió añadir Abeja (picadura) (veneno) al régimen terapéutico.","(Abeja (picadura) (veneno),39,64)"
Se debe ajustar la dosis de ABOB debido a los efectos secundarios observados.,"(ABOB,28,32)"
Se recetó Abrine para tratar la infección bacteriana.,"(Abrine,10,16)"
Se debe ajustar la dosis de Abrus (semilla) debido a los efectos secundarios observados.,"(Abrus (semilla),28,43)"
"Durante la consulta, se sugirió añadir Absenta al régimen terapéutico.","(Absenta,39,46)"
El paciente fue tratado con Acaricida tras su diagnóstico de hipertensión.,"(Acaricida,28,37)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acebutolol.","(Acebutolol,82,92)"
Se ha reportado una reacción adversa grave al administrar Acecarbromal.,"(Acecarbromal,58,70)"
El paciente fue tratado con Aceclidina tras su diagnóstico de hipertensión.,"(Aceclidina,28,38)"
Se debe ajustar la dosis de Acedapsona debido a los efectos secundarios observados.,"(Acedapsona,28,38)"
"Durante la consulta, se sugirió añadir Acefilina piperacina al régimen terapéutico.","(Acefilina piperacina,39,59)"
Se debe ajustar la dosis de Aceite (de) debido a los efectos secundarios observados.,"(Aceite (de),28,39)"
El paciente fue tratado con Aceite dulce (abedul) tras su diagnóstico de hipertensión.,"(Aceite dulce (abedul),28,49)"
"Se recetó Aceitosa, preparación (para la piel) para tratar la infección bacteriana.","(Aceitosa, preparación (para la piel),10,46)"
Se ha reportado una reacción adversa grave al administrar Acemorfán.,"(Acemorfán,58,67)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acenocumarina.","(Acenocumarina,82,95)"
El paciente fue tratado con Acenocumarol tras su diagnóstico de hipertensión.,"(Acenocumarol,28,40)"
Se debe ajustar la dosis de Acepifilina debido a los efectos secundarios observados.,"(Acepifilina,28,39)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acepromacina.","(Acepromacina,82,94)"
Se debe ajustar la dosis de Acesulfametoxipiridacina debido a los efectos secundarios observados.,"(Acesulfametoxipiridacina,28,52)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetal.","(Acetal,82,88)"
Se ha reportado una reacción adversa grave al administrar Acetaldehído (emanaciones).,"(Acetaldehído (emanaciones),58,84)"
Se recetó Acetaminofeno para tratar la infección bacteriana.,"(Acetaminofeno,10,23)"
Se recetó Acetaminosalol para tratar la infección bacteriana.,"(Acetaminosalol,10,24)"
Se recetó Acetanilida para tratar la infección bacteriana.,"(Acetanilida,10,21)"
Se ha reportado una reacción adversa grave al administrar Acetarsol.,"(Acetarsol,58,67)"
Se debe ajustar la dosis de Acetazolamida debido a los efectos secundarios observados.,"(Acetazolamida,28,41)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetiamina.","(Acetiamina,82,92)"
El paciente fue tratado con Acético tras su diagnóstico de hipertensión.,"(Acético,28,35)"
Se ha reportado una reacción adversa grave al administrar Acetilcarbromal.,"(Acetilcarbromal,58,73)"
Se recetó Acetilcisteína para tratar la infección bacteriana.,"(Acetilcisteína,10,24)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetilcolina.","(Acetilcolina,82,94)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetildigitoxina.","(Acetildigitoxina,82,98)"
"Durante la consulta, se sugirió añadir Acetildigoxina al régimen terapéutico.","(Acetildigoxina,39,53)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetildihidrocodeína.","(Acetildihidrocodeína,82,102)"
Se debe ajustar la dosis de Acetildihidrocodeinona debido a los efectos secundarios observados.,"(Acetildihidrocodeinona,28,50)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetileno (gas).","(Acetileno (gas),82,97)"
Se recetó Acetilfeneturida para tratar la infección bacteriana.,"(Acetilfeneturida,10,26)"
Se debe ajustar la dosis de Acetilfenilhidracina debido a los efectos secundarios observados.,"(Acetilfenilhidracina,28,48)"
El paciente fue tratado con Acetilo tras su diagnóstico de hipertensión.,"(Acetilo,28,35)"
"Durante la consulta, se sugirió añadir Acetilsalicílico, ácido (sales) al régimen terapéutico.","(Acetilsalicílico, ácido (sales),39,70)"
Se debe ajustar la dosis de Acetilsulfametoxipiridacina debido a los efectos secundarios observados.,"(Acetilsulfametoxipiridacina,28,55)"
Se ha reportado una reacción adversa grave al administrar Acetofenacina.,"(Acetofenacina,58,71)"
Se recetó Acetofenetedina para tratar la infección bacteriana.,"(Acetofenetedina,10,25)"
El paciente fue tratado con Acetofenona tras su diagnóstico de hipertensión.,"(Acetofenona,28,39)"
Se debe ajustar la dosis de Acetohexamida debido a los efectos secundarios observados.,"(Acetohexamida,28,41)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetohidroxámico, ácido.","(Acetohidroxámico, ácido,82,105)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acetomenaftona.","(Acetomenaftona,82,96)"
"Durante la consulta, se sugirió añadir Acetomorfina al régimen terapéutico.","(Acetomorfina,39,51)"
El paciente fue tratado con Acetona (aceites) tras su diagnóstico de hipertensión.,"(Acetona (aceites),28,45)"
"Durante la consulta, se sugirió añadir Acetonitrilo al régimen terapéutico.","(Acetonitrilo,39,51)"
"Durante la consulta, se sugirió añadir Acetorfina al régimen terapéutico.","(Acetorfina,39,49)"
Se ha reportado una reacción adversa grave al administrar Acetosulfona (sodio).,"(Acetosulfona (sodio),58,78)"
El paciente fue tratado con Acetotrizoato (sodio) tras su diagnóstico de hipertensión.,"(Acetotrizoato (sodio),28,49)"
"Se debe ajustar la dosis de Acetrizoico, ácido debido a los efectos secundarios observados.","(Acetrizoico, ácido,28,46)"
El paciente fue tratado con Aciclovir tras su diagnóstico de hipertensión.,"(Aciclovir,28,37)"
"El paciente fue tratado con Acidificante, agente NCOC tras su diagnóstico de hipertensión.","(Acidificante, agente NCOC,28,53)"
Se recetó Acipimox para tratar la infección bacteriana.,"(Acipimox,10,18)"
Se recetó Acitretina para tratar la infección bacteriana.,"(Acitretina,10,20)"
Se ha reportado una reacción adversa grave al administrar Aclarubicina.,"(Aclarubicina,58,70)"
"Se debe ajustar la dosis de Aclatonio, napadisilato de debido a los efectos secundarios observados.","(Aclatonio, napadisilato de,28,54)"
Se recetó Aconitina para tratar la infección bacteriana.,"(Aconitina,10,19)"
Se ha reportado una reacción adversa grave al administrar Acónito.,"(Acónito,58,65)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acónito (silvestre).","(Acónito (silvestre),82,101)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aconitum ferox.","(Aconitum ferox,82,96)"
"Durante la consulta, se sugirió añadir Acridina al régimen terapéutico.","(Acridina,39,47)"
Se ha reportado una reacción adversa grave al administrar Acriflavina.,"(Acriflavina,58,69)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acriflavinium cloruro.","(Acriflavinium cloruro,82,103)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acrilamida.","(Acrilamida,82,92)"
"Se debe ajustar la dosis de Acrílica, resina debido a los efectos secundarios observados.","(Acrílica, resina,28,44)"
Se recetó Acrilonitrilo para tratar la infección bacteriana.,"(Acrilonitrilo,10,23)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acrinol.","(Acrinol,82,89)"
Se debe ajustar la dosis de Acrisorcina debido a los efectos secundarios observados.,"(Acrisorcina,28,39)"
Se recetó Acritoína para tratar la infección bacteriana.,"(Acritoína,10,19)"
Se ha reportado una reacción adversa grave al administrar Acrivastina.,"(Acrivastina,58,69)"
Se debe ajustar la dosis de Acroleína (gas) debido a los efectos secundarios observados.,"(Acroleína (gas),28,43)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Acromicina.","(Acromicina,82,92)"
Se debe ajustar la dosis de Actaea spicata debido a los efectos secundarios observados.,"(Actaea spicata,28,42)"
"Durante la consulta, se sugirió añadir Acterol al régimen terapéutico.","(Acterol,39,46)"
Se ha reportado una reacción adversa grave al administrar ACTH.,"(ACTH,58,62)"
Se recetó Actinomicina C para tratar la infección bacteriana.,"(Actinomicina C,10,24)"
Se debe ajustar la dosis de Actinomicina D debido a los efectos secundarios observados.,"(Actinomicina D,28,42)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Activado, carbón - véase además Carbón medicinal.","(Activado, carbón - véase además Carbón medicinal,82,130)"
"Durante la consulta, se sugirió añadir Adenina al régimen terapéutico.","(Adenina,39,46)"
"Durante la consulta, se sugirió añadir Adelfa al régimen terapéutico.","(Adelfa,39,45)"
Se recetó Adenosina (fosfato) para tratar la infección bacteriana.,"(Adenosina (fosfato),10,29)"
Se debe ajustar la dosis de ADH debido a los efectos secundarios observados.,"(ADH,28,31)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Adhesivo NCOC.","(Adhesivo NCOC,82,95)"
Se recetó Adicilina para tratar la infección bacteriana.,"(Adicilina,10,19)"
El paciente fue tratado con Adiphenine tras su diagnóstico de hipertensión.,"(Adiphenine,28,38)"
"Durante la consulta, se sugirió añadir Adipiodona al régimen terapéutico.","(Adipiodona,39,49)"
Se ha reportado una reacción adversa grave al administrar Adrenalina.,"(Adrenalina,58,68)"
Se debe ajustar la dosis de Adrenérgico NCOC debido a los efectos secundarios observados.,"(Adrenérgico NCOC,28,44)"
"Se ha reportado una reacción adversa grave al administrar Adrenocorticotrópica, hormona.","(Adrenocorticotrópica, hormona,58,87)"
Se recetó Adrenocorticotropina para tratar la infección bacteriana.,"(Adrenocorticotropina,10,30)"
"Durante la consulta, se sugirió añadir Adrenocromo al régimen terapéutico.","(Adrenocromo,39,50)"
Se ha reportado una reacción adversa grave al administrar Adriamicina.,"(Adriamicina,58,69)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Adyuvante farmacéutico.","(Adyuvante farmacéutico,82,104)"
Se ha reportado una reacción adversa grave al administrar Aerosol NCOC.,"(Aerosol NCOC,58,70)"
Se recetó Aerosporina para tratar la infección bacteriana.,"(Aerosporina,10,21)"
"Durante la consulta, se sugirió añadir Aethusa cynapium al régimen terapéutico.","(Aethusa cynapium,39,55)"
"Se ha reportado una reacción adversa grave al administrar Afganistán, hachís negro de.","(Afganistán, hachís negro de,58,85)"
Se debe ajustar la dosis de Aflatoxina debido a los efectos secundarios observados.,"(Aflatoxina,28,38)"
Se recetó Aflocualona para tratar la infección bacteriana.,"(Aflocualona,10,21)"
Se debe ajustar la dosis de Agar debido a los efectos secundarios observados.,"(Agar,28,32)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Agente blanqueador (medicinal).","(Agente blanqueador (medicinal),82,112)"
El paciente fue tratado con Agonista tras su diagnóstico de hipertensión.,"(Agonista,28,36)"
Se debe ajustar la dosis de Agrícola (agente) NCOC debido a los efectos secundarios observados.,"(Agrícola (agente) NCOC,28,50)"
El paciente fue tratado con Agridulce tras su diagnóstico de hipertensión.,"(Agridulce,28,37)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Agripnal.","(Agripnal,82,90)"
El paciente fue tratado con Agua tras su diagnóstico de hipertensión.,"(Agua,28,32)"
Se debe ajustar la dosis de AHLG debido a los efectos secundarios observados.,"(AHLG,28,32)"
Se recetó Ajmalina para tratar la infección bacteriana.,"(Ajmalina,10,18)"
Se recetó Akee para tratar la infección bacteriana.,"(Akee,10,14)"
Se debe ajustar la dosis de Alaceprilo debido a los efectos secundarios observados.,"(Alaceprilo,28,38)"
Se recetó Alantoína para tratar la infección bacteriana.,"(Alantoína,10,19)"
El paciente fue tratado con Alantolactona tras su diagnóstico de hipertensión.,"(Alantolactona,28,41)"
Se debe ajustar la dosis de Albamicina debido a los efectos secundarios observados.,"(Albamicina,28,38)"
Se ha reportado una reacción adversa grave al administrar Albendazol.,"(Albendazol,58,68)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Albúmina.","(Albúmina,82,90)"
"Se ha reportado una reacción adversa grave al administrar Albúmina sérica normal (humano), pobre en sal.","(Albúmina sérica normal (humano), pobre en sal,58,103)"
Se recetó Albuterol para tratar la infección bacteriana.,"(Albuterol,10,19)"
El paciente fue tratado con Albutoína tras su diagnóstico de hipertensión.,"(Albutoína,28,37)"
"Durante la consulta, se sugirió añadir Alcalina, solución antiséptica (aromática) al régimen terapéutico.","(Alcalina, solución antiséptica (aromática),39,81)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alcalinizantes, agentes (medicinales).","(Alcalinizantes, agentes (medicinales),82,119)"
"El paciente fue tratado con Alcalizante, agente NCOC tras su diagnóstico de hipertensión.","(Alcalizante, agente NCOC,28,52)"
"Durante la consulta, se sugirió añadir Alcanfor al régimen terapéutico.","(Alcanfor,39,47)"
"Se ha reportado una reacción adversa grave al administrar Alcantarillado, gas de.","(Alcantarillado, gas de,58,80)"
Se recetó Alcavervir para tratar la infección bacteriana.,"(Alcavervir,10,20)"
Se ha reportado una reacción adversa grave al administrar Alclometasona.,"(Alclometasona,58,71)"
"Durante la consulta, se sugirió añadir Alcohol al régimen terapéutico.","(Alcohol,39,46)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alconio (bromuro).","(Alconio (bromuro),82,99)"
Se ha reportado una reacción adversa grave al administrar Alcuronio (cloruro).,"(Alcuronio (cloruro),58,77)"
Se ha reportado una reacción adversa grave al administrar Aldactona.,"(Aldactona,58,67)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aldesulfona de sodio.","(Aldesulfona de sodio,82,102)"
Se recetó Aldicarb para tratar la infección bacteriana.,"(Aldicarb,10,18)"
El paciente fue tratado con Aldomet tras su diagnóstico de hipertensión.,"(Aldomet,28,35)"
Se debe ajustar la dosis de Aldosterona debido a los efectos secundarios observados.,"(Aldosterona,28,39)"
Se recetó Aldrina (polvo) para tratar la infección bacteriana.,"(Aldrina (polvo),10,25)"
"Durante la consulta, se sugirió añadir Alegron al régimen terapéutico.","(Alegron,39,46)"
Se ha reportado una reacción adversa grave al administrar Aletrina.,"(Aletrina,58,66)"
El paciente fue tratado con Aleve - véase Naproxeno tras su diagnóstico de hipertensión.,"(Aleve - véase Naproxeno,28,51)"
Se ha reportado una reacción adversa grave al administrar Alexitol de sodio.,"(Alexitol de sodio,58,75)"
Se debe ajustar la dosis de Alfa debido a los efectos secundarios observados.,"(Alfa,28,32)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alfacalcidol.","(Alfacalcidol,82,94)"
El paciente fue tratado con Alfadolona tras su diagnóstico de hipertensión.,"(Alfadolona,28,38)"
Se debe ajustar la dosis de Alfaprodina debido a los efectos secundarios observados.,"(Alfaprodina,28,39)"
Se debe ajustar la dosis de Alfaxalona debido a los efectos secundarios observados.,"(Alfaxalona,28,38)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alfentanilo.","(Alfentanilo,82,93)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alfuzosina (clorhidrato).","(Alfuzosina (clorhidrato),82,106)"
El paciente fue tratado con Algas (nocivas) (toxina) tras su diagnóstico de hipertensión.,"(Algas (nocivas) (toxina),28,52)"
Se debe ajustar la dosis de Algeldrato debido a los efectos secundarios observados.,"(Algeldrato,28,38)"
Se recetó Algina para tratar la infección bacteriana.,"(Algina,10,16)"
"Durante la consulta, se sugirió añadir Alglucerasa al régimen terapéutico.","(Alglucerasa,39,50)"
El paciente fue tratado con Alidase tras su diagnóstico de hipertensión.,"(Alidase,28,35)"
"Se debe ajustar la dosis de Alifáticos, tiocianatos debido a los efectos secundarios observados.","(Alifáticos, tiocianatos,28,51)"
Se debe ajustar la dosis de Alil debido a los efectos secundarios observados.,"(Alil,28,32)"
Se ha reportado una reacción adversa grave al administrar Alilestrenol.,"(Alilestrenol,58,70)"
Se ha reportado una reacción adversa grave al administrar Alilisopropilacetilurea.,"(Alilisopropilacetilurea,58,81)"
Se recetó Alilisopropilmalonilurea para tratar la infección bacteriana.,"(Alilisopropilmalonilurea,10,34)"
"Durante la consulta, se sugirió añadir Alilo, tribromuro de al régimen terapéutico.","(Alilo, tribromuro de,39,59)"
Se debe ajustar la dosis de Aliltiourea debido a los efectos secundarios observados.,"(Aliltiourea,28,39)"
El paciente fue tratado con Alimemacina tras su diagnóstico de hipertensión.,"(Alimemacina,28,39)"
"Se debe ajustar la dosis de Alimentos, productos alimenticios, nocivos, no bacterianos, NCOC debido a los efectos secundarios observados.","(Alimentos, productos alimenticios, nocivos, no bacterianos, NCOC,28,92)"
Se debe ajustar la dosis de Alipropimal debido a los efectos secundarios observados.,"(Alipropimal,28,39)"
El paciente fue tratado con Alizaprida tras su diagnóstico de hipertensión.,"(Alizaprida,28,38)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alka-seltzer.","(Alka-seltzer,82,94)"
"Durante la consulta, se sugirió añadir Almacenamiento de batería (células) (ácido) al régimen terapéutico.","(Almacenamiento de batería (células) (ácido),39,82)"
"Durante la consulta, se sugirió añadir Almagato al régimen terapéutico.","(Almagato,39,47)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Almasilato.","(Almasilato,82,92)"
"El paciente fue tratado con Almendras amargas, aceite de tras su diagnóstico de hipertensión.","(Almendras amargas, aceite de,28,56)"
"Durante la consulta, se sugirió añadir Almidón al régimen terapéutico.","(Almidón,39,46)"
Se debe ajustar la dosis de Almitrina debido a los efectos secundarios observados.,"(Almitrina,28,37)"
"Durante la consulta, se sugirió añadir Alobarbital al régimen terapéutico.","(Alobarbital,39,50)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aloe.","(Aloe,82,86)"
Se ha reportado una reacción adversa grave al administrar Aloglutamol.,"(Aloglutamol,58,69)"
Se debe ajustar la dosis de Aloína debido a los efectos secundarios observados.,"(Aloína,28,34)"
Se recetó Alopurinol para tratar la infección bacteriana.,"(Alopurinol,10,20)"
"Durante la consulta, se sugirió añadir Aloxidona al régimen terapéutico.","(Aloxidona,39,48)"
Se recetó Alprazolam para tratar la infección bacteriana.,"(Alprazolam,10,20)"
Se ha reportado una reacción adversa grave al administrar Alprenolol.,"(Alprenolol,58,68)"
El paciente fue tratado con Alprostadil tras su diagnóstico de hipertensión.,"(Alprostadil,28,39)"
"Se debe ajustar la dosis de Alquilantes, drogas NCOC debido a los efectos secundarios observados.","(Alquilantes, drogas NCOC,28,52)"
Se recetó Alquilisocianato para tratar la infección bacteriana.,"(Alquilisocianato,10,26)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alsactida.","(Alsactida,82,91)"
Se ha reportado una reacción adversa grave al administrar Alseroxilón.,"(Alseroxilón,58,69)"
Se ha reportado una reacción adversa grave al administrar Alteplasa.,"(Alteplasa,58,67)"
Se debe ajustar la dosis de Altizida debido a los efectos secundarios observados.,"(Altizida,28,36)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Altretamina.","(Altretamina,82,93)"
Se ha reportado una reacción adversa grave al administrar Alucinógeno NEOM.,"(Alucinógeno NEOM,58,74)"
El paciente fue tratado con Alumbre (medicinal) tras su diagnóstico de hipertensión.,"(Alumbre (medicinal),28,47)"
Se recetó Aluminio para tratar la infección bacteriana.,"(Aluminio,10,18)"
Se recetó Alurato para tratar la infección bacteriana.,"(Alurato,10,17)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alverina.","(Alverina,82,90)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Alvodina.","(Alvodina,82,90)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amanita faloides.","(Amanita faloides,82,98)"
Se ha reportado una reacción adversa grave al administrar Amanitina.,"(Amanitina,58,67)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amantadina.","(Amantadina,82,92)"
Se recetó Amarillo para tratar la infección bacteriana.,"(Amarillo,10,18)"
"Durante la consulta, se sugirió añadir Ambazona al régimen terapéutico.","(Ambazona,39,47)"
Se recetó Ambenonio (cloruro) para tratar la infección bacteriana.,"(Ambenonio (cloruro),10,29)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Ambroxol.","(Ambroxol,82,90)"
Se ha reportado una reacción adversa grave al administrar Ambufilina.,"(Ambufilina,58,68)"
"Se debe ajustar la dosis de Ambutonio, bromuro de debido a los efectos secundarios observados.","(Ambutonio, bromuro de,28,49)"
Se recetó Amcinonida para tratar la infección bacteriana.,"(Amcinonida,10,20)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amdinocilina.","(Amdinocilina,82,94)"
"Se debe ajustar la dosis de Amecinio, metilsulfato de debido a los efectos secundarios observados.","(Amecinio, metilsulfato de,28,53)"
Se ha reportado una reacción adversa grave al administrar Ametazol.,"(Ametazol,58,66)"
Se recetó Ametocaína para tratar la infección bacteriana.,"(Ametocaína,10,20)"
"Durante la consulta, se sugirió añadir Ametopterina al régimen terapéutico.","(Ametopterina,39,51)"
Se ha reportado una reacción adversa grave al administrar Amfebutamona.,"(Amfebutamona,58,70)"
"Durante la consulta, se sugirió añadir Amfenidona al régimen terapéutico.","(Amfenidona,39,49)"
"Durante la consulta, se sugirió añadir Amfepramona al régimen terapéutico.","(Amfepramona,39,50)"
El paciente fue tratado con Amfomicina tras su diagnóstico de hipertensión.,"(Amfomicina,28,38)"
Se debe ajustar la dosis de Amianto debido a los efectos secundarios observados.,"(Amianto,28,35)"
"Se debe ajustar la dosis de Amidefrine, mesilato de debido a los efectos secundarios observados.","(Amidefrine, mesilato de,28,51)"
Se recetó Amidona para tratar la infección bacteriana.,"(Amidona,10,17)"
Se ha reportado una reacción adversa grave al administrar Amidopirina.,"(Amidopirina,58,69)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amidotrizoato.","(Amidotrizoato,82,95)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amifenazona.","(Amifenazona,82,93)"
"Durante la consulta, se sugirió añadir Amiflamina al régimen terapéutico.","(Amiflamina,39,49)"
"Durante la consulta, se sugirió añadir Amigdalina al régimen terapéutico.","(Amigdalina,39,49)"
El paciente fue tratado con Amikacina tras su diagnóstico de hipertensión.,"(Amikacina,28,37)"
Se ha reportado una reacción adversa grave al administrar Amilasa.,"(Amilasa,58,65)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amileína, regional.","(Amileína, regional,82,100)"
Se debe ajustar la dosis de Amileno debido a los efectos secundarios observados.,"(Amileno,28,35)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amilmetacresol.","(Amilmetacresol,82,96)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Amilo.","(Amilo,82,87)"
"Durante la consulta, se sugirió añadir Amilobarbitona al régimen terapéutico.","(Amilobarbitona,39,53)"
"El paciente fue tratado con Amilocaína, regional tras su diagnóstico de hipertensión.","(Amilocaína, regional,28,48)"
Se recetó Amilopectina para tratar la infección bacteriana.,"(Amilopectina,10,22)"
El paciente fue tratado con Amilorida tras su diagnóstico de hipertensión.,"(Amilorida,28,37)"
Se ha reportado una reacción adversa grave al administrar Aminacrina.,"(Aminacrina,58,68)"
Se recetó Amineptina para tratar la infección bacteriana.,"(Amineptina,10,20)"
El paciente fue tratado con Aminitrozol tras su diagnóstico de hipertensión.,"(Aminitrozol,28,39)"
"En la revisión de su tratamiento, se recomendó sustituir su medicación actual por Aminoacetic, ácido (derivados).","(Aminoacetic, ácido (derivados),82,112)"
Se ha reportado una reacción adversa grave al administrar Aminoácidos.,"(Aminoácidos,58,69)"
